method,seed,held_out_protocol,support_repeat,adaptation_step,effective_adaptation_step,deployment_step_selection,deployment_selected_step,is_deployment_selection,support_loo_selected_mae_cycles,support_loo_zero_step_mae_cycles,count,mae_cycles,median_absolute_error_cycles,rmse_cycles,mape_percent,mean_bias_cycles,within_10_percent_accuracy,within_15_percent_accuracy,r2,max_absolute_error_cycles,y_general_mae_cycles,y_general_rmse_cycles,mean_absolute_y_general,mean_absolute_specific_residual,residual_to_general_ratio,residual_ratio_warning,general_representation_cosine_distance,general_representation_l2_distance,specific_representation_cosine_distance,specific_representation_l2_distance,source_validation_general_domain_accuracy,source_validation_specific_domain_accuracy,target_support_labels_used_for_adaptation,target_query_labels_used_for_adaptation_or_checkpoint_selection,prediction_mode
hybrid,42,protocol_1,0,0,0,support_loo,5,False,225.22552490234372,281.1025390625,6,417.9416097005208,297.5552978515625,572.9298092339507,26.322098455725868,-66.22774251302083,0.5,0.5,-0.2072375712442495,1015.320068359375,413.19455973307294,568.2623513500995,1783.5997314453125,17.533077239990234,0.0098301636465164,False,3.9736431034498316e-08,0.0,-9.934107758624576e-09,0.0,0.25,0.125,False,False,residual
hybrid,42,protocol_1,0,1,1,support_loo,5,False,225.22552490234372,281.1025390625,6,420.0836588541667,300.084228515625,572.4095240485768,26.34703062219706,-72.28763834635417,0.5,0.5,-0.2050459498034058,1006.2275390625,414.9481201171875,567.6250407892162,1778.4722900390625,18.42650604248047,0.0103608620419246,False,3.9736431034498316e-08,0.0,0.0001285870966967,0.0812416300177574,0.25,0.125,True,False,residual
hybrid,42,protocol_1,0,2,2,support_loo,5,False,225.22552490234372,281.1025390625,6,422.09226481119794,302.5107421875,572.0300769062169,26.37071432118966,-77.96999104817708,0.5,0.5,-0.2034488425989042,997.76513671875,416.60398356119794,567.107157445003,1773.6435546875,19.280200958251957,0.010870392141249,False,3.9736431034498316e-08,0.0,0.0004711151123046,0.1561576128005981,0.25,0.125,True,False,residual
hybrid,42,protocol_1,0,5,5,support_loo,5,True,225.22552490234372,281.1025390625,6,427.453369140625,309.22930908203125,571.5186999870984,26.435522596254696,-93.1304931640625,0.5,0.5,-0.2012981134501734,975.490966796875,421.0752360026042,566.1072731717076,1760.6744384765625,21.47167205810547,0.0121951404466824,False,3.9736431034498316e-08,0.0,0.0023269555531442,0.3507823348045349,0.25,0.125,True,False,residual
hybrid,42,protocol_1,0,10,10,support_loo,5,False,225.22552490234372,281.1025390625,6,434.7345784505208,318.86114501953125,571.9605206518712,26.52837630855589,-113.65840657552084,0.5,0.5,-0.2031561925864384,946.0802001953124,427.2395426432292,565.641903448595,1742.9681396484375,24.293289184570312,0.0139378848252902,False,3.9736431034498316e-08,0.0,0.0067080063745379,0.6033376455307007,0.25,0.125,True,False,residual
hybrid,42,protocol_1,1,0,0,support_loo,0,True,518.244873046875,518.244873046875,6,338.89414469401044,294.37518310546875,440.38668236501553,16.69899969387014,-138.2186075846354,0.5,0.5,0.0228941014497149,836.2276611328125,332.2000325520833,429.87441041115545,1751.0340576171875,15.918713569641112,0.0090910359512386,False,0.0,0.0,-1.9868215517249155e-08,0.0,0.25,0.125,False,False,residual
hybrid,42,protocol_1,1,1,1,support_loo,0,False,518.244873046875,518.244873046875,6,341.06162516276044,290.376708984375,450.7287670600416,16.638469940209568,-154.69512939453125,0.5,0.5,-0.0235376797294541,869.897705078125,334.2322184244792,439.0195826778618,1736.5198974609375,17.548412322998047,0.0101055060461193,False,0.0,0.0,0.0004474322195164,0.1607887148857116,0.25,0.125,True,False,residual
hybrid,42,protocol_1,1,2,2,support_loo,0,False,518.244873046875,518.244873046875,6,343.1835530598958,287.3006591796875,460.5418824568964,16.594322029398644,-169.50826009114584,0.5,0.5,-0.0685910795592135,899.900146484375,336.19854736328125,447.6931180394139,1723.4166259765625,19.25824546813965,0.0111744572832045,False,0.0,0.0,0.0015515089035034,0.3010514378547668,0.25,0.125,True,False,residual
hybrid,42,protocol_1,1,5,5,support_loo,0,False,518.244873046875,518.244873046875,6,353.78228759765625,281.862060546875,487.668994937316,16.8316770408476,-207.3104044596354,0.5,0.5,-0.1981841506887731,975.7677001953124,341.8455403645833,471.4908672942109,1689.9891357421875,23.6328182220459,0.01398400600467,False,0.0,0.0,0.0073642036877572,0.6601829528808594,0.25,0.125,True,False,residual
hybrid,42,protocol_1,1,10,10,support_loo,0,False,518.244873046875,518.244873046875,6,379.9319254557292,280.60333251953125,528.2554937304747,17.95291241146291,-257.6929117838542,0.3333333333333333,0.5,-0.4059223191213021,1076.93310546875,356.46921793619794,506.2827656080511,1645.9769287109375,30.003082275390625,0.0182281305114573,False,0.0,0.0,0.0231270901858806,1.1703624725341797,0.25,0.125,True,False,residual
hybrid,42,protocol_1,2,0,0,support_loo,5,False,238.797607421875,297.5552978515625,6,412.4573567708333,281.1025390625,571.2062734830122,27.817689629445404,126.658203125,0.5,0.5,-0.3146765423176143,1015.320068359375,415.7292887369792,570.3877259129403,1864.0445556640625,9.591153144836426,0.0051453454348464,False,0.0,0.0,-2.9802322387695312e-08,0.0,0.25,0.125,False,False,residual
